wealth_state,income_state,var,variable,value
0.18,7.0,H_rent,var_l2,1.550713
0.18,7.0,Q,var_l2,0.132046
0.18,7.0,Y,var_l2,8.0
0.18,8.0,C,var_l2,0.791586
0.18,8.0,H_own,var_l2,0.0
0.18,8.0,H_rent,var_l2,1.348764
0.18,8.0,Q,var_l2,0.016673
0.18,8.0,Y,var_l2,7.0
0.18,9.0,C,var_l2,0.947059
0.18,9.0,H_own,var_l2,0.0
0.18,9.0,H_rent,var_l2,1.613371
0.18,9.0,Q,var_l2,0.047048
0.18,9.0,Y,var_l2,9.0
0.18,10.0,C,var_l2,1.108261
0.18,10.0,H_own,var_l2,0.0
0.18,10.0,H_rent,var_l2,1.888799
0.18,10.0,Q,var_l2,0.188723
0.18,10.0,Y,var_l2,10.0
0.19,7.0,C,var_l2,0.793919
0.19,7.0,H_own,var_l2,0.0
0.19,7.0,H_rent,var_l2,1.352322
0.19,7.0,Q,var_l2,0.124662
0.19,7.0,Y,var_l2,7.0
0.19,8.0,C,var_l2,0.85652
0.19,8.0,H_own,var_l2,0.0
0.19,8.0,H_rent,var_l2,1.460201
0.19,8.0,Q,var_l2,0.07294
0.19,8.0,Y,var_l2,8.0
0.19,9.0,C,var_l2,0.838023
0.19,9.0,H_own,var_l2,0.0
0.19,9.0,H_rent,var_l2,1.428395
0.19,9.0,Q,var_l2,0.02302
0.19,9.0,Y,var_l2,8.0
0.2,10.0,C,var_l2,1.099653
0.2,10.0,H_own,var_l2,0.0
0.2,10.0,H_rent,var_l2,1.874263
0.2,10.0,Q,var_l2,0.208402
0.2,10.0,Y,var_l2,10.0
0.22,9.0,C,var_l2,0.851972
0.22,9.0,H_own,var_l2,0.0
0.22,9.0,H_rent,var_l2,1.451367
0.22,9.0,Q,var_l2,0.033919
0.22,9.0,Y,var_l2,8.0
0.22,10.0,C,var_l2,1.091122
0.22,10.0,H_own,var_l2,0.0
0.22,10.0,H_rent,var_l2,1.859856
0.22,10.0,Q,var_l2,0.227905
0.22,10.0,Y,var_l2,10.0
0.23,9.0,C,var_l2,0.8522635
0.23,9.0,H_own,var_l2,0.0
0.23,9.0,H_rent,var_l2,1.4518475
0.23,9.0,Q,var_l2,0.034797
0.23,9.0,Y,var_l2,8.0
0.23,10.0,C,var_l2,1.089403
0.23,10.0,H_own,var_l2,0.0
0.23,10.0,H_rent,var_l2,1.856946
0.23,10.0,Q,var_l2,0.239201
0.23,10.0,Y,var_l2,10.0
0.24,10.0,C,var_l2,1.0984005
0.24,10.0,H_own,var_l2,0.0
0.24,10.0,H_rent,var_l2,1.87212
0.24,10.0,Q,var_l2,0.2428685
0.24,10.0,Y,var_l2,10.0
0.0,6.0,C,var_l1,0.625713
0.0,6.0,H_own,var_l1,0.0
0.0,6.0,H_rent,var_l1,1.066974
0.0,6.0,Q,var_l1,0.001188
0.0,6.0,Y,var_l1,6.0
0.0,7.0,C,var_l1,0.754002
0.0,7.0,H_own,var_l1,0.0
0.0,7.0,H_rent,var_l1,1.284603
0.0,7.0,Q,var_l1,0.001214
0.0,7.0,Y,var_l1,7.0
0.0,8.0,C,var_l1,0.826461
0.0,8.0,H_own,var_l1,0.0
0.0,8.0,H_rent,var_l1,1.407964
0.0,8.0,Q,var_l1,0.002617
0.0,8.0,Y,var_l1,8.0
0.0,9.0,C,var_l1,0.939259
0.0,9.0,H_own,var_l1,0.0
0.0,9.0,H_rent,var_l1,1.599887
