wealth_state,income_state,var,variable,value
0.19,8.0,H_rent,var_l2,1.328588
0.19,8.0,Q,var_l2,0.122157
0.19,8.0,Y,var_l2,7.0
0.19,9.0,C,var_l2,0.866279
0.19,9.0,H_own,var_l2,0.0
0.19,9.0,H_rent,var_l2,1.47677
0.19,9.0,Q,var_l2,0.07296
0.19,9.0,Y,var_l2,8.0
0.19,10.0,C,var_l2,0.946432
0.19,10.0,H_own,var_l2,0.0
0.19,10.0,H_rent,var_l2,1.61231
0.19,10.0,Q,var_l2,0.055531
0.19,10.0,Y,var_l2,9.0
0.0,6.0,C,var_l1,0.48074
0.0,6.0,H_own,var_l1,0.0
0.0,6.0,H_rent,var_l1,0.716905
0.0,6.0,Q,var_l1,0.001652
0.0,6.0,Y,var_l1,5.0
0.0,7.0,C,var_l1,0.630314
0.0,7.0,H_own,var_l1,0.0
0.0,7.0,H_rent,var_l1,1.0741825
0.0,7.0,Q,var_l1,0.001189
0.0,7.0,Y,var_l1,6.0
0.0,8.0,C,var_l1,0.703559
0.0,8.0,H_own,var_l1,0.0
0.0,8.0,H_rent,var_l1,1.198776
0.0,8.0,Q,var_l1,0.001188
0.0,8.0,Y,var_l1,7.0
0.0,9.0,C,var_l1,0.737971
0.0,9.0,H_own,var_l1,0.0
0.0,9.0,H_rent,var_l1,1.258437
0.0,9.0,Q,var_l1,0.001186
0.0,9.0,Y,var_l1,8.0
0.0,10.0,C,var_l1,0.925338
0.0,10.0,H_own,var_l1,0.0
0.0,10.0,H_rent,var_l1,1.572404
0.0,10.0,Q,var_l1,0.001174
0.0,10.0,Y,var_l1,9.0
0.0,11.0,C,var_l1,0.938064
0.0,11.0,H_own,var_l1,0.0
0.0,11.0,H_rent,var_l1,1.597872
0.0,11.0,Q,var_l1,0.001156
0.0,11.0,Y,var_l1,9.0
0.01,6.0,C,var_l1,0.5005975
0.01,6.0,H_own,var_l1,0.0
0.01,6.0,H_rent,var_l1,0.8527585
0.01,6.0,Q,var_l1,0.018501
0.01,6.0,Y,var_l1,5.0
0.01,7.0,C,var_l1,0.668813
0.01,7.0,H_own,var_l1,0.0
0.01,7.0,H_rent,var_l1,1.139898
0.01,7.0,Q,var_l1,0.012641
0.01,7.0,Y,var_l1,6.0
0.01,8.0,C,var_l1,0.784732
0.01,8.0,H_own,var_l1,0.0
0.01,8.0,H_rent,var_l1,1.337547
0.01,8.0,Q,var_l1,0.01526
0.01,8.0,Y,var_l1,7.0
0.01,9.0,C,var_l1,0.793621
0.01,9.0,H_own,var_l1,0.0
0.01,9.0,H_rent,var_l1,1.3472585
0.01,9.0,Q,var_l1,0.014604
0.01,9.0,Y,var_l1,7.0
0.01,10.0,C,var_l1,0.942648
0.01,10.0,H_own,var_l1,0.0
0.01,10.0,H_rent,var_l1,1.605756
0.01,10.0,Q,var_l1,0.015472
0.01,10.0,Y,var_l1,9.0
0.02,7.0,C,var_l1,0.675772
0.02,7.0,H_own,var_l1,0.0
0.02,7.0,H_rent,var_l1,1.151703
0.02,7.0,Q,var_l1,0.021984
0.02,7.0,Y,var_l1,6.0
0.02,8.0,C,var_l1,0.803964
0.02,8.0,H_own,var_l1,0.0
0.02,8.0,H_rent,var_l1,1.370438
0.02,8.0,Q,var_l1,0.025715
0.02,8.0,Y,var_l1,7.0
0.02,9.0,C,var_l1,0.838023
0.02,9.0,H_own,var_l1,0.0
0.02,9.0,H_rent,var_l1,1.428395
0.02,9.0,Q,var_l1,0.02302
0.02,9.0,Y,var_l1,8.0
0.02,10.0,C,var_l1,0.838023
0.02,10.0,H_own,var_l1,0.0
0.02,10.0,H_rent,var_l1,1.428395
